date,destination,bookings,searches,cancellations,adr,room_nights
2022-01-01,UKR,143,207,17,94.93,368.66
2022-01-02,UKR,122,242,14,95.96,306.26
2022-01-03,UKR,128,214,13,91.02,339.47
2022-01-04,UKR,112,177,13,90.61,296.36
2022-01-05,UKR,125,169,13,94.13,349.53
2022-01-06,UKR,117,217,12,98.22,348.99
2022-01-07,UKR,102,171,12,93.44,261.22
2022-01-08,UKR,121,203,13,95.53,321.36
2022-01-09,UKR,132,257,16,96.59,392.01
2022-01-10,UKR,135,208,14,91.14,340.55
2022-01-11,UKR,109,186,13,92.65,287.81
2022-01-12,UKR,109,158,11,98.58,314.59
2022-01-13,UKR,102,142,12,96.15,294.33
2022-01-14,UKR,105,146,13,95.16,279.87
2022-01-15,UKR,123,203,14,95.29,362.06
2022-01-16,UKR,122,203,14,94.58,352.03
2022-01-17,UKR,119,207,12,90.31,299.37
2022-01-18,UKR,111,205,13,91.64,300.28
2022-01-19,UKR,98,182,10,90.82,290.56
2022-01-20,UKR,136,232,16,91.05,400.69
2022-01-21,UKR,145,233,15,90.33,379.03
2022-01-22,UKR,167,245,17,94.1,452.35
2022-01-23,UKR,113,206,14,92.34,311.81
2022-01-24,UKR,124,192,15,91.67,340.83
2022-01-25,UKR,100,152,11,94.03,252.57
2022-01-26,UKR,132,196,14,93.9,395.05
2022-01-27,UKR,135,235,14,96.15,362.33
2022-01-28,UKR,127,184,13,97.15,337.87
2022-01-29,UKR,115,171,13,89.46,316.95
2022-01-30,UKR,137,196,16,92.94,406.67
2022-01-31,UKR,104,187,13,97.55,273.41
2022-02-01,UKR,109,210,12,91.57,277.57
2022-02-02,UKR,114,219,12,92.58,326.38
2022-02-03,UKR,117,226,13,90.09,301.96
2022-02-04,UKR,90,128,9,95.54,225.23
2022-02-05,UKR,117,175,13,91.41,334.16
2022-02-06,UKR,108,185,12,97.28,305.51
2022-02-07,UKR,78,123,8,91.59,232.95
2022-02-08,UKR,114,191,14,94.02,317.88
2022-02-09,UKR,88,127,9,89.53,248.4
2022-02-10,UKR,123,242,15,92.78,308.45
2022-02-11,UKR,102,165,13,97.32,270.02
2022-02-12,UKR,121,215,12,94.53,359.14
2022-02-13,UKR,104,175,12,98.61,267.28
2022-02-14,UKR,116,178,13,95.9,310.85
2022-02-15,UKR,115,194,14,97.88,316.9
2022-02-16,UKR,111,174,13,96.78,326.9
2022-02-17,UKR,84,142,9,89.64,229.56
2022-02-18,UKR,89,139,9,89.65,259.11
2022-02-19,UKR,94,131,11,91.33,264.28
2022-02-20,UKR,91,180,10,95.29,260.54
2022-02-21,UKR,93,130,11,91.85,252.91
2022-02-22,UKR,85,124,10,95.84,229.88
2022-02-23,UKR,79,120,9,96.02,223.58
2022-02-24,UKR,28,67,22,78.89,75.87
2022-02-25,UKR,22,45,15,75.53,55.51
2022-02-26,UKR,31,82,24,75.87,85.12
2022-02-27,UKR,22,48,17,80.46,61.99
2022-02-28,UKR,22,51,17,82.87,62.25
2022-03-01,UKR,16,42,11,81.16,47.52
2022-03-02,UKR,18,46,14,81.29,53.47
2022-03-03,UKR,24,50,17,77.84,61.21
2022-03-04,UKR,16,33,11,80.28,46.76
2022-03-05,UKR,23,67,16,83.78,64.73
2022-03-06,UKR,25,72,18,79.89,71.88
2022-03-07,UKR,22,69,17,85.22,58.75
2022-03-08,UKR,21,68,18,85.41,53.58
2022-03-09,UKR,20,42,15,86.95,53.89
2022-03-10,UKR,20,54,15,87.76,59.51
2022-03-11,UKR,34,76,12,82.86,96.43
2022-03-12,UKR,44,89,14,84.58,111.27
2022-03-13,UKR,40,89,14,81.68,102.86
2022-03-14,UKR,32,71,10,86.94,81.16
2022-03-15,UKR,34,64,11,89.68,91.36
2022-03-16,UKR,42,74,17,87.97,112.9
2022-03-17,UKR,39,78,13,89.56,99.67
