destination_id,destination_name,region
UKR,Ukraine,Eastern Europe
RUS,Russia,Eastern Europe
POL,Poland,Eastern Europe
ROU,Romania,Eastern Europe
MDA,Moldova,Eastern Europe
ISR,Israel,Middle East
PSE,Palestine,Middle East
JOR,Jordan,Middle East
EGY,Egypt,Middle East
ARE,UAE,Gulf
PRT,Portugal,Southern Europe
ESP,Spain,Southern Europe
ITA,Italy,Southern Europe
GRC,Greece,Southern Europe
FRA,France,Western Europe
DEU,Germany,Central Europe
GBR,United Kingdom,Northern Europe
NLD,Netherlands,Western Europe
TUR,Turkey,Eastern Mediterranean
CYP,Cyprus,Eastern Mediterranean
THA,Thailand,Southeast Asia
USA,United States,North America
