date,origin_country,destination_id,route,flights_count,seat_capacity,load_factor,avg_airfare,airline
2022-01-01,CHN,NLD,CHN-NLD,5,840.0,0.7085,163.5,DL
2022-01-01,CAN,ARE,CAN-ARE,8,1496.0,0.7689,336.65,DL
2022-01-01,NLD,PRT,NLD-PRT,5,905.0,0.7119,341.47,AF
2022-01-01,GBR,FRA,GBR-FRA,10,1640.0,0.6852,547.2,TK
2022-01-01,AUS,PRT,AUS-PRT,8,1376.0,0.7012,516.51,EK
2022-01-01,FRA,THA,FRA-THA,1,192.0,0.7704,413.53,DL
2022-01-01,CAN,ROU,CAN-ROU,4,644.0,0.5606,591.29,BA
2022-01-01,FRA,ISR,FRA-ISR,4,692.0,0.45,274.15,TK
2022-01-01,USA,MDA,USA-MDA,9,1404.0,0.6394,388.64,KL
2022-01-02,CAN,ROU,CAN-ROU,4,744.0,0.8322,565.82,TK
2022-01-02,AUS,UKR,AUS-UKR,10,1750.0,0.7165,381.87,KL
2022-01-02,GBR,ISR,GBR-ISR,8,1240.0,0.7864,245.07,LH
2022-01-02,FRA,ITA,FRA-ITA,3,486.0,0.7933,386.62,TK
2022-01-02,JPN,ESP,JPN-ESP,11,2112.0,0.45,164.3,DL
2022-01-02,GBR,GRC,GBR-GRC,1,145.0,0.4839,586.09,EK
2022-01-02,FRA,ISR,FRA-ISR,5,820.0,0.8106,330.87,UA
2022-01-02,CHN,POL,CHN-POL,2,370.0,0.553,435.13,LH
2022-01-02,CHN,ARE,CHN-ARE,6,1092.0,0.7924,587.64,QR
2022-01-02,AUS,ITA,AUS-ITA,7,1183.0,0.8477,436.53,KL
2022-01-02,JPN,FRA,JPN-FRA,11,1947.0,0.6178,500.21,EK
2022-01-02,IND,ARE,IND-ARE,9,1350.0,0.6949,213.64,TK
2022-01-02,NLD,TUR,NLD-TUR,9,1476.0,0.8403,255.36,DL
2022-01-02,JPN,UKR,JPN-UKR,5,855.0,0.8095,158.85,UA
2022-01-02,CHN,SAU,CHN-SAU,3,540.0,0.45,360.02,BA
2022-01-02,CHN,NLD,CHN-NLD,2,300.0,0.5918,191.81,UA
2022-01-02,USA,GBR,USA-GBR,3,432.0,0.9013,537.87,AF
2022-01-02,GBR,FRA,GBR-FRA,5,990.0,0.4706,494.39,KL
2022-01-02,GBR,ARE,GBR-ARE,2,332.0,0.5138,459.65,DL
2022-01-02,GBR,LBN,GBR-LBN,8,1568.0,0.8068,468.77,AF
2022-01-02,IND,ISR,IND-ISR,3,564.0,0.7148,578.9,AA
2022-01-02,AUS,PRT,AUS-PRT,2,350.0,0.45,508.25,AA
2022-01-02,FRA,FRA,FRA-FRA,5,780.0,0.6985,443.68,AF
2022-01-02,JPN,CYP,JPN-CYP,3,444.0,0.7754,478.16,TK
2022-01-02,JPN,RUS,JPN-RUS,11,1804.0,0.5678,189.84,DL
2022-01-03,IND,PRT,IND-PRT,7,980.0,0.45,351.48,EK
2022-01-03,USA,LBN,USA-LBN,7,1008.0,0.6435,349.76,TK
2022-01-03,USA,NLD,USA-NLD,9,1629.0,0.8919,484.18,BA
2022-01-03,USA,PRT,USA-PRT,4,704.0,0.8224,429.03,QR
2022-01-03,GBR,FRA,GBR-FRA,3,597.0,0.6687,562.21,AF
2022-01-03,NLD,GBR,NLD-GBR,10,1770.0,0.7977,339.8,TK
2022-01-03,AUS,ROU,AUS-ROU,3,582.0,0.7928,213.32,AA
2022-01-03,NLD,ESP,NLD-ESP,4,784.0,0.6411,570.78,TK
2022-01-03,CAN,GBR,CAN-GBR,3,501.0,0.8333,234.82,LH
2022-01-03,CHN,GBR,CHN-GBR,7,1267.0,0.6863,428.2,LH
2022-01-03,CHN,POL,CHN-POL,8,1504.0,0.95,442.76,QR
2022-01-04,USA,MDA,USA-MDA,2,314.0,0.6156,392.59,LH
2022-01-04,IND,MDA,IND-MDA,8,1272.0,0.8703,177.95,QR
2022-01-04,GBR,ITA,GBR-ITA,4,744.0,0.5246,231.23,UA
2022-01-04,DEU,TUR,DEU-TUR,11,2123.0,0.664,433.47,BA
