date,origin_country,destination_id,visa_applications,visa_issued,visa_rejected,visa_type,processing_days
2022-01-01,JPN,ARE,763,639,124,Family,18.1
2022-01-01,JPN,ARE,724,656,68,Business,11.1
2022-01-01,FRA,ESP,614,542,72,Tourist,20.2
2022-01-01,NLD,THA,258,237,21,Transit,26.4
2022-01-01,CHN,MDA,202,173,29,Family,24.3
2022-01-01,DEU,NLD,205,154,51,Transit,22.5
2022-01-02,AUS,ISR,475,407,68,Transit,14.3
2022-01-02,IND,NLD,73,60,13,Transit,17.9
2022-01-02,FRA,ITA,160,142,18,Tourist,7.9
2022-01-02,USA,ROU,657,555,102,Tourist,25.7
2022-01-02,AUS,POL,265,198,67,Business,24.3
2022-01-02,FRA,FRA,286,255,31,Transit,17.5
2022-01-02,JPN,EGY,651,551,100,Business,14.8
2022-01-02,GBR,POL,541,439,102,Family,9.5
2022-01-02,IND,ROU,739,714,25,Transit,22.5
2022-01-03,DEU,RUS,595,550,45,Family,5.7
2022-01-03,CHN,RUS,185,171,14,Transit,14.6
2022-01-03,FRA,ISR,347,331,16,Transit,17.3
2022-01-03,AUS,DEU,245,213,32,Business,16.7
2022-01-03,JPN,TUR,741,555,186,Family,13.9
2022-01-04,NLD,POL,430,335,95,Transit,13.0
2022-01-04,CHN,GBR,376,343,33,Transit,25.3
2022-01-04,NLD,ITA,259,194,65,Tourist,21.3
2022-01-05,GBR,RUS,155,146,9,Tourist,22.9
2022-01-05,AUS,NLD,191,143,48,Family,8.7
2022-01-05,NLD,TUR,571,522,49,Tourist,25.5
2022-01-05,GBR,DEU,184,171,13,Transit,19.7
2022-01-05,DEU,ESP,448,394,54,Tourist,12.8
2022-01-05,FRA,FRA,152,136,16,Family,3.1
2022-01-06,CHN,ARE,346,307,39,Family,8.4
2022-01-06,GBR,TUR,518,440,78,Family,17.4
2022-01-06,USA,ARE,72,54,18,Business,8.7
2022-01-06,FRA,RUS,42,40,2,Transit,7.7
2022-01-06,CHN,ARE,157,142,15,Transit,7.4
2022-01-06,CAN,ITA,733,610,123,Transit,26.5
2022-01-06,USA,ARE,213,159,54,Tourist,6.7
2022-01-06,JPN,UKR,298,252,46,Tourist,25.4
2022-01-06,AUS,GBR,85,74,11,Tourist,3.6
2022-01-06,GBR,USA,290,271,19,Transit,16.3
2022-01-06,CHN,SAU,249,226,23,Family,15.5
2022-01-06,IND,NLD,766,639,127,Family,20.5
2022-01-06,IND,CYP,402,301,101,Business,7.0
2022-01-07,DEU,UKR,387,303,84,Transit,8.4
2022-01-07,FRA,JOR,480,417,63,Transit,8.1
2022-01-07,IND,SAU,540,467,73,Business,19.1
2022-01-07,CAN,ROU,357,331,26,Tourist,25.1
2022-01-07,CHN,LBN,388,374,14,Business,3.6
2022-01-07,NLD,ARE,456,425,31,Transit,26.9
2022-01-07,CHN,SAU,137,134,3,Tourist,17.2
2022-01-07,GBR,LBN,443,332,111,Business,3.8
2022-01-07,IND,ITA,451,422,29,Business,17.2
2022-01-08,FRA,POL,324,281,43,Business,5.9
2022-01-08,DEU,THA,793,718,75,Family,25.6
2022-01-08,DEU,PRT,162,129,33,Family,26.4
2022-01-08,CHN,ISR,567,425,142,Tourist,9.7
2022-01-08,CAN,SAU,369,332,37,Transit,22.8
2022-01-08,AUS,PRT,339,314,25,Transit,7.2
2022-01-08,CAN,DEU,493,426,67,Tourist,19.3
2022-01-08,USA,THA,358,340,18,Business,5.5
2022-01-08,JPN,TUR,171,150,21,Family,19.8
2022-01-08,CAN,POL,311,264,47,Tourist,22.7
2022-01-08,JPN,NLD,606,531,75,Transit,18.8
2022-01-08,CAN,MDA,265,230,35,Tourist,8.9
2022-01-09,CAN,FRA,608,495,113,Transit,23.5
2022-01-09,NLD,SAU,692,650,42,Family,7.6
2022-01-09,JPN,EGY,177,168,9,Family,9.7
2022-01-09,NLD,RUS,410,390,20,Transit,26.0
2022-01-09,AUS,NLD,212,186,26,Transit,13.4
2022-01-09,USA,ITA,167,134,33,Business,25.5
2022-01-10,JPN,FRA,536,402,134,Family,12.7
2022-01-10,CAN,USA,459,351,108,Business,5.0
2022-01-10,NLD,UKR,128,96,32,Tourist,12.8
2022-01-10,NLD,POL,530,478,52,Business,10.7
2022-01-10,FRA,ESP,537,402,135,Tourist,21.5
2022-01-11,NLD,SAU,472,394,78,Transit,7.0
2022-01-11,GBR,EGY,755,641,114,Tourist,23.1
2022-01-11,IND,CYP,764,672,92,Transit,15.5
2022-01-11,USA,GRC,500,454,46,Transit,21.3
2022-01-11,JPN,ITA,58,51,7,Business,18.8
2022-01-11,CHN,EGY,317,238,79,Family,26.7
2022-01-12,FRA,GRC,297,222,75,Tourist,7.2
2022-01-12,USA,FRA,475,460,15,Family,24.6
2022-01-12,GBR,LBN,499,385,114,Business,13.9
2022-01-12,CAN,ESP,517,473,44,Family,26.1
2022-01-12,JPN,POL,613,564,49,Business,3.0
2022-01-12,JPN,ARE,785,740,45,Tourist,21.5
2022-01-13,AUS,CYP,681,596,85,Family,9.4
2022-01-13,USA,ARE,369,330,39,Tourist,3.1
2022-01-13,FRA,CYP,463,390,73,Tourist,15.1
2022-01-13,DEU,ITA,641,480,161,Family,11.6
2022-01-13,FRA,JOR,317,304,13,Transit,15.4
2022-01-13,CAN,RUS,390,329,61,Family,13.7
2022-01-13,JPN,DEU,642,481,161,Family,5.7
2022-01-13,IND,PRT,137,112,25,Transit,23.6
2022-01-13,FRA,ITA,716,600,116,Family,14.5
2022-01-13,NLD,ROU,609,577,32,Family,26.4
2022-01-13,IND,SAU,636,579,57,Business,17.0
2022-01-13,CAN,ISR,757,713,44,Transit,21.6
2022-01-13,IND,ARE,176,157,19,Family,21.7
2022-01-14,NLD,GBR,552,471,81,Family,20.5
2022-01-14,CHN,POL,656,522,134,Transit,16.0
2022-01-14,CAN,ISR,83,62,21,Transit,19.3
2022-01-14,DEU,ITA,368,339,29,Business,14.0
2022-01-14,CAN,DEU,511,457,54,Business,6.2
2022-01-14,AUS,PRT,682,623,59,Business,11.3
2022-01-14,IND,GBR,656,511,145,Transit,7.1
2022-01-14,CHN,TUR,642,629,13,Family,4.0
2022-01-15,USA,MDA,189,163,26,Family,11.1
2022-01-15,GBR,MDA,220,176,44,Tourist,22.5
2022-01-15,CAN,TUR,261,195,66,Family,19.7
2022-01-15,JPN,ARE,165,146,19,Tourist,4.2
2022-01-15,JPN,CYP,497,439,58,Tourist,11.2
2022-01-15,USA,ITA,590,470,120,Business,12.7
2022-01-15,IND,ARE,492,437,55,Transit,19.4
2022-01-15,JPN,JOR,635,500,135,Family,16.1
2022-01-15,CAN,GBR,417,390,27,Tourist,11.8
2022-01-15,IND,EGY,418,397,21,Business,23.3
2022-01-15,FRA,THA,204,165,39,Tourist,8.6
2022-01-15,DEU,RUS,505,483,22,Business,24.8
2022-01-16,DEU,RUS,694,555,139,Business,19.9
2022-01-16,USA,ESP,388,309,79,Family,9.2
2022-01-16,FRA,JOR,777,750,27,Tourist,10.6
2022-01-16,CAN,SAU,507,445,62,Business,9.0
2022-01-16,FRA,ITA,599,587,12,Tourist,24.6
2022-01-17,NLD,ITA,581,485,96,Family,4.5
2022-01-17,GBR,GRC,611,482,129,Transit,24.2
2022-01-17,USA,ITA,362,345,17,Tourist,4.7
2022-01-17,IND,POL,496,411,85,Transit,12.1
2022-01-18,CAN,POL,759,620,139,Tourist,26.3
2022-01-18,FRA,SAU,47,35,12,Transit,24.0
2022-01-18,IND,ESP,662,532,130,Transit,3.9
2022-01-18,GBR,JOR,87,81,6,Tourist,3.6
2022-01-18,AUS,POL,734,616,118,Business,22.2
2022-01-18,USA,MDA,65,62,3,Family,12.5
2022-01-18,GBR,TUR,627,555,72,Business,13.1
2022-01-18,JPN,USA,130,112,18,Business,4.2
2022-01-18,AUS,PRT,160,141,19,Tourist,11.9
2022-01-18,JPN,ESP,651,608,43,Family,16.7
2022-01-18,DEU,CYP,35,31,4,Tourist,7.9
2022-01-18,IND,USA,75,66,9,Transit,5.9
2022-01-18,NLD,EGY,498,425,73,Family,22.3
